generation,name,parent,value
,Total,,
,맥주,Total,
,소주,Total,
,양주,Total,
,혼합주,Total,
,전통주,Total,
,동양술,Total,
Z,국산맥주,맥주,55.55555556
Z,수입맥주,맥주,42.85714286
Z,희석소주,소주,30.95238095
Z,막걸리,전통주,18.25396825
Z,와인/샴페인,양주,13.49206349
Z,과일맥주,맥주,21.42857143
Z,위스키,양주,11.9047619
Z,발포주,맥주,10.31746032
Z,과일소주,소주,19.04761905
Z,무알콜맥주,맥주,11.9047619
Z,수제맥주,맥주,6.349206349
Z,탄산주,혼합주,13.49206349
Z,사과주,혼합주,12.6984127
Z,증류소주,소주,7.142857143
Z,과실주,전통주,10.31746032
Z,청주/약주,전통주,7.142857143
Z,보드카,양주,7.142857143
Z,칵테일,양주,7.142857143
Z,진/럼/데킬라,양주,5.555555556
Z,고량주,동양술,2.380952381
Z,사케,동양술,5.555555556
Z,브랜디/꼬냑,양주,3.174603175
Z,RTD,양주,4.761904762
M,국산맥주,맥주,61.17216117
M,수입맥주,맥주,50.54945055
M,희석소주,소주,33.6996337
M,막걸리,전통주,18.31501832
M,와인/샴페인,양주,16.11721612
M,과일맥주,맥주,13.91941392
M,위스키,양주,13.55311355
M,발포주,맥주,14.28571429
M,과일소주,소주,10.25641026
M,무알콜맥주,맥주,12.08791209
M,수제맥주,맥주,10.25641026
M,탄산주,혼합주,7.692307692
M,사과주,혼합주,6.95970696
M,증류소주,소주,7.692307692
M,과실주,전통주,5.128205128
M,청주/약주,전통주,4.761904762
M,보드카,양주,4.761904762
M,칵테일,양주,2.93040293
M,진/럼/데킬라,양주,2.93040293
M,고량주,동양술,4.029304029
M,사케,동양술,2.564102564
M,브랜디/꼬냑,양주,2.93040293
M,RTD,양주,2.564102564
X,국산맥주,맥주,63.671875
X,수입맥주,맥주,39.84375
X,희석소주,소주,42.578125
X,막걸리,전통주,23.4375
X,와인/샴페인,양주,16.40625
X,과일맥주,맥주,7.8125
X,위스키,양주,8.984375
X,발포주,맥주,7.03125
X,과일소주,소주,5.859375
X,무알콜맥주,맥주,4.296875
X,수제맥주,맥주,8.984375
X,탄산주,혼합주,3.515625
X,사과주,혼합주,3.125
X,증류소주,소주,4.6875
X,과실주,전통주,4.296875
X,청주/약주,전통주,5.46875
X,보드카,양주,3.515625
X,칵테일,양주,3.515625
X,진/럼/데킬라,양주,1.171875
X,고량주,동양술,1.5625
X,사케,동양술,1.5625
X,브랜디/꼬냑,양주,1.953125
X,RTD,양주,0
