generation,name,parent,value
,Total,,
,맥주,Total,
,소주,Total,
,양주,Total,
,혼합주,Total,
,전통주,Total,
,동양술,Total,
Z,국산맥주,맥주,64.95726496
Z,수입맥주,맥주,43.58974359
Z,희석소주,소주,39.31623932
Z,막걸리,전통주,20.51282051
Z,와인/샴페인,양주,18.8034188
Z,과일맥주,맥주,25.21367521
Z,위스키,양주,12.39316239
Z,무알콜맥주,맥주,11.96581197
Z,발포주,맥주,11.11111111
Z,수제맥주,맥주,12.82051282
Z,과일소주,소주,17.94871795
Z,탄산주,혼합주,14.52991453
Z,증류소주,소주,10.25641026
Z,청주/약주,전통주,10.68376068
Z,사과주,혼합주,14.95726496
Z,과실주,전통주,10.68376068
Z,보드카,양주,7.264957265
Z,칵테일,양주,8.11965812
Z,고량주,동양술,4.273504274
Z,RTD,양주,9.401709402
Z,사케,동양술,6.837606838
Z,진/럼/데킬라,양주,5.128205128
Z,브랜디/꼬냑,양주,4.273504274
M,국산맥주,맥주,65.75342466
M,수입맥주,맥주,45.59686888
M,희석소주,소주,41.09589041
M,막걸리,전통주,20.74363992
M,와인/샴페인,양주,22.50489237
M,과일맥주,맥주,14.481409
M,위스키,양주,14.28571429
M,무알콜맥주,맥주,13.11154599
M,발포주,맥주,10.95890411
M,수제맥주,맥주,10.37181996
M,과일소주,소주,9.589041096
M,탄산주,혼합주,9.197651663
M,증류소주,소주,8.219178082
M,청주/약주,전통주,6.26223092
M,사과주,혼합주,6.653620352
M,과실주,전통주,6.066536204
M,보드카,양주,6.26223092
M,칵테일,양주,3.913894325
M,고량주,동양술,5.870841487
M,RTD,양주,3.913894325
M,사케,동양술,3.13111546
M,진/럼/데킬라,양주,2.935420744
M,브랜디/꼬냑,양주,3.13111546
X,국산맥주,맥주,69.12442396
X,수입맥주,맥주,47.23502304
X,희석소주,소주,46.77419355
X,막걸리,전통주,37.09677419
X,와인/샴페인,양주,23.50230415
X,과일맥주,맥주,7.142857143
X,위스키,양주,13.13364055
X,무알콜맥주,맥주,5.99078341
X,발포주,맥주,8.294930876
X,수제맥주,맥주,8.064516129
X,과일소주,소주,4.377880184
X,탄산주,혼합주,3.917050691
X,증류소주,소주,6.221198157
X,청주/약주,전통주,7.834101382
X,사과주,혼합주,3.686635945
X,과실주,전통주,6.221198157
X,보드카,양주,4.608294931
X,칵테일,양주,3.456221198
X,고량주,동양술,2.304147465
X,RTD,양주,1.382488479
X,사케,동양술,3.686635945
X,진/럼/데킬라,양주,2.534562212
X,브랜디/꼬냑,양주,2.073732719
