generation,name,parent,value
,Total,,
,맥주,Total,
,소주,Total,
,양주,Total,
,혼합주,Total,
,전통주,Total,
,동양술,Total,
Z,국산맥주,맥주,65.14522822
Z,희석소주,소주,63.48547718
Z,수입맥주,맥주,34.02489627
Z,막걸리,전통주,21.16182573
Z,수제맥주,맥주,17.84232365
Z,와인,양주,19.50207469
Z,위스키,양주,19.08713693
Z,과일소주,소주,26.14107884
Z,칵테일,양주,22.82157676
Z,청주-약주,전통주,14.93775934
Z,증류소주,소주,9.543568465
Z,과실주,전통주,17.84232365
Z,과일맥주,맥주,16.18257261
Z,사케,동양술,10.37344398
Z,무알콜맥주,맥주,10.37344398
Z,고량주,동양술,7.053941909
Z,보드카,양주,5.809128631
Z,발포주,맥주,7.883817427
Z,탄산주,혼합주,9.128630705
Z,진-럼,양주,8.298755187
Z,사과주,혼합주,10.37344398
Z,브랜디,양주,3.734439834
Z,RTD,양주,5.394190871
M,국산맥주,맥주,66.53465347
M,희석소주,소주,56.63366337
M,수입맥주,맥주,34.05940594
M,막걸리,전통주,19.40594059
M,수제맥주,맥주,17.82178218
M,와인,양주,15.84158416
M,위스키,양주,11.88118812
M,과일소주,소주,7.722772277
M,칵테일,양주,11.08910891
M,청주-약주,전통주,9.108910891
M,증류소주,소주,10.69306931
M,과실주,전통주,6.534653465
M,과일맥주,맥주,7.920792079
M,사케,동양술,8.514851485
M,무알콜맥주,맥주,6.930693069
M,고량주,동양술,5.940594059
M,보드카,양주,7.128712871
M,발포주,맥주,5.148514851
M,탄산주,혼합주,4.95049505
M,진-럼,양주,5.148514851
M,사과주,혼합주,3.366336634
M,브랜디,양주,2.376237624
M,RTD,양주,2.772277228
X,국산맥주,맥주,74.53703704
X,희석소주,소주,61.11111111
X,수입맥주,맥주,30.09259259
X,막걸리,전통주,27.77777778
X,수제맥주,맥주,13.19444444
X,와인,양주,11.34259259
X,위스키,양주,12.73148148
X,과일소주,소주,6.712962963
X,칵테일,양주,4.398148148
X,청주-약주,전통주,7.175925926
X,증류소주,소주,7.638888889
X,과실주,전통주,6.712962963
X,과일맥주,맥주,4.166666667
X,사케,동양술,4.166666667
X,무알콜맥주,맥주,3.703703704
X,고량주,동양술,6.018518519
X,보드카,양주,5.092592593
X,발포주,맥주,3.703703704
X,탄산주,혼합주,2.546296296
X,진-럼,양주,2.546296296
X,사과주,혼합주,1.157407407
X,브랜디,양주,3.240740741
X,RTD,양주,0.462962963
